Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
9.0	6.0	21.0	21.0	6.0	10.0	14.0	18.0	6.0	18.0	10.0	19.0	19.0	15.0	6.0	3.0	18.0	20.0	13.0	26.0	28.0	9.0	16.0	25.0	19.0	24.0	11.0	26.0	24.0	26.0	11.0	15.0	9.0	11.0	12.0	16.0	17.0	22.0	5.0	17.0	20.0	16.0	16.0	18.0	29.0	10.0	34.0	29.0	21.0	2.0
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
9.0	6.0	21.0	21.0	6.0	10.0	14.0	18.0	6.0	18.0	10.0	19.0	19.0	15.0	6.0	3.0	18.0	20.0	13.0	26.0	28.0	9.0	16.0	25.0	19.0	24.0	11.0	26.0	24.0	26.0	11.0	15.0	9.0	11.0	12.0	16.0	17.0	22.0	5.0	17.0	20.0	16.0	16.0	18.0	29.0	10.0	34.0	29.0	21.0	2.0
